Redeem Credit Points,Redeem Credit Points
Credit Points Available,Credit Points Available
Minimum credit points required to redeem,Minimum credit points required to redeem
You do not have sufficient credit points,You do not have sufficient credit points
Slide to redeem your credit points,Slide to redeem your credit points
Use maximum,Use maximum
Updating cart information...,Updating cart information...
Credit Points Information,Credit Points Information
Your Credit Points,Your Credit Points
Points,Points
Points/Currency Exchange Rate,Points/Currency Exchange Rate
Order #,Order #
Date,Date
Points Redeemed,Points Redeemed
Points Price,Points Price
Points Earned,Points Earned
Back,Back
Credit Points,Credit Points
Credit Points Tab,Credit Points Tab
