Redeem Credit Points,Échangez vos points de crédit
Credit Points Available,Points de crédit disponibles
Minimum credit points required to redeem,points de crédit minimum requis pour racheter
You do not have sufficient credit points,Vous ne disposez pas de points de crédit suffisantes
Slide to redeem your credit points,Faites glisser pour échanger vos points de crédit
Use maximum,utilisation maximale
Updating cart information...,Mise à jour de l'information de la carte ...
Credit Points Information,Points de crédit d'information
Your Credit Points,Vos points de crédit
Points,Points
Points/Currency Exchange Rate,Points / Taux de change
Order #,Commande #
Date,Date
Points Redeemed,Points rachetées
Points Price,Points Prix
Points Earned,Points gagnés
Back,Arrière
Credit Points,Points de crédit
Credit Points Tab,Points de crédit Tab
